Generation center,Lat [deg],Lon [deg],Annual capacity [kg/a],Generation state
Baluba Center Underground Mine,-13.04861,28.33806,750000000,CuConcentrate
Chambishi Main Mine,-12.658916,28.047927,1072500000,CuConcentrate
Chambishi West Mine,-12.658,28.103,495000000,CuConcentrate
Chibuluma South Mine,-12.913955,28.079191,300000000,CuConcentrate
Chingola Open Pit A Mine,-12.509245,27.909252,1125000000,CuConcentrate
Fitwaola Open Pit Mine,-12.407089,27.880269,0,CuConcentrate
Kansanshi Mine,-12.093786,26.429833,14369500000,CuConcentrate
Konkola Mine,-12.378789,27.826968,1200000000,CuConcentrate
Luanshya North Mine,-13.068863,28.322909,2250000000,CuConcentrate
Lubambe Copper Mine,-12.29413,27.765612,1250000000,CuConcentrate
Lumwana Mine (Chimiwungo and Malundwe pits),-12.230905,25.817114,10500000000,CuConcentrate
Mufulira Mine,-12.542415,28.219801,1250000000,CuConcentrate
Munali Nickel Mine,-15.925446,28.129807,850000,CuConcentrate
Nchanga Open Pit Mine,-12.53611,27.83312,1125000000,CuConcentrate
Nchanga Underground Mine,-12.507613,27.875482,1400000000,CuConcentrate
"Nkana Mine (Area A- open pit), southwest of Kitwe",-12.851026,28.207404,392857142.9,CuConcentrate
"Nkana Mine (Area E- open pit), southwest of Kitwe",-12.851026,28.207404,392857142.9,CuConcentrate
"Nkana Mine (Central Ore Body shaft-underground), southwest of Kitwe",-12.80525,28.185836,392857142.9,CuConcentrate
"Nkana Mine (Mindola North Ore Body shaft-underground), southwest of Kitwe",-12.796917,28.178776,392857142.9,CuConcentrate
"Nkana Mine (Mindola- open pit), southwest of Kitwe",-12.77556,28.161052,392857142.9,CuConcentrate
"Nkana Mine (South Ore Body shaft-underground), southwest of Kitwe",-12.854466,28.212123,392857142.9,CuConcentrate
"Nkana Mine (Sub-Vertical Ore Body shaft-underground), southwest of Kitwe",-12.854466,28.212123,392857142.9,CuConcentrate
Sentinel Mine,-12.256487,25.300218,29434000000,CuConcentrate
